Date,OrderID,ProductID,ProductName,Category,Brand,UnitPrice,Quantity,TotalAmount,CustomerID,CustomerSegment,Region,City,PaymentMethod,ShippingMethod
2023-01-01,ORD202301010819,PRODHOME019,Home & Garden Product 10,Home & Garden,Brand5,229.46,3,688.38,CUST0020,New,Asia Pacific,Singapore,Digital Wallet,Next Day
2023-01-02,ORD202301020925,PRODELEC025,Electronics Product 6,Electronics,Brand1,48.11,1,48.11,CUST0126,Premium,Europe,Berlin,PayPal,Standard
2023-01-04,ORD202301040715,PRODELEC015,Electronics Product 6,Electronics,Brand1,283.59,1,283.59,CUST0116,New,Latin America,Buenos Aires,Bank Transfer,Next Day
2023-01-06,ORD202301060165,PRODELEC065,Electronics Product 6,Electronics,Brand1,399.52,1,399.52,CUST0166,Regular,Asia Pacific,Tokyo,PayPal,Express
2023-01-06,ORD202301060832,PRODTOYS032,Toys Product 3,Toys,Brand3,354.5,2,709.0,CUST0033,Premium,North America,Los Angeles,PayPal,Next Day
2023-01-08,ORD202301080209,PRODELEC009,Electronics Product 10,Electronics,Brand5,10.6,4,42.4,CUST0010,Regular,Latin America,Mexico City,Credit Card,Standard
2023-01-08,ORD202301080279,PRODHOME079,Home & Garden Product 10,Home & Garden,Brand5,330.21,5,1651.05,CUST0080,Premium,Latin America,Buenos Aires,PayPal,Standard
2023-01-10,ORD202301100779,PRODTOYS079,Toys Product 10,Toys,Brand5,328.02,3,984.06,CUST0180,Premium,North America,New York,Bank Transfer,Express
2023-01-11,ORD202301110059,PRODTOYS059,Toys Product 10,Toys,Brand5,414.2,2,828.4,CUST0060,New,North America,Chicago,Digital Wallet,Standard
2023-01-11,ORD202301110335,PRODCLOT035,Clothing Product 6,Clothing,Brand1,412.07,2,824.14,CUST0136,New,Europe,Berlin,Digital Wallet,Express
2023-01-11,ORD202301110531,PRODELEC031,Electronics Product 2,Electronics,Brand2,159.29,3,477.87,CUST0132,Premium,Latin America,São Paulo,Credit Card,Next Day
2023-01-11,ORD202301110707,PRODBOOK007,Books Product 8,Books,Brand3,311.89,1,311.89,CUST0108,Regular,Asia Pacific,Singapore,Digital Wallet,Express
2023-01-11,ORD202301110909,PRODBOOK009,Books Product 10,Books,Brand5,415.63,1,415.63,CUST0110,New,Latin America,Santiago,Digital Wallet,Next Day
2023-01-12,ORD202301120565,PRODCLOT065,Clothing Product 6,Clothing,Brand1,66.0,2,132.0,CUST0166,Premium,Europe,Berlin,Digital Wallet,Next Day
2023-01-12,ORD202301120969,PRODTOYS069,Toys Product 10,Toys,Brand5,187.53,1,187.53,CUST0170,Premium,Latin America,Mexico City,Bank Transfer,Express
2023-01-13,ORD202301130224,PRODELEC024,Electronics Product 5,Electronics,Brand5,336.83,3,1010.49,CUST0025,New,Europe,Paris,Bank Transfer,Standard
2023-01-13,ORD202301130225,PRODHOME025,Home & Garden Product 6,Home & Garden,Brand1,415.71,1,415.71,CUST0026,Regular,North America,Los Angeles,Digital Wallet,Next Day
2023-01-13,ORD202301130252,PRODELEC052,Electronics Product 3,Electronics,Brand3,139.56,5,697.8,CUST0053,New,Asia Pacific,Sydney,Digital Wallet,Next Day
2023-01-14,ORD202301140290,PRODELEC090,Electronics Product 1,Electronics,Brand1,177.45,5,887.25,CUST0091,Regular,Europe,London,PayPal,Standard
2023-01-14,ORD202301140873,PRODTOYS073,Toys Product 4,Toys,Brand4,211.64,2,423.28,CUST0074,New,North America,Toronto,Digital Wallet,Standard
2023-01-15,ORD202301150196,PRODCLOT096,Clothing Product 7,Clothing,Brand2,426.21,4,1704.84,CUST0197,Regular,Europe,Berlin,PayPal,Standard
2023-01-16,ORD202301160345,PRODBOOK045,Books Product 6,Books,Brand1,430.18,2,860.36,CUST0146,Premium,Europe,Amsterdam,Credit Card,Next Day
2023-01-16,ORD202301160533,PRODCLOT033,Clothing Product 4,Clothing,Brand4,99.37,4,397.48,CUST0134,Regular,Europe,London,PayPal,Standard
2023-01-20,ORD202301200217,PRODTOYS017,Toys Product 8,Toys,Brand3,216.06,3,648.18,CUST0018,Premium,Europe,London,Digital Wallet,Express
2023-01-20,ORD202301200575,PRODELEC075,Electronics Product 6,Electronics,Brand1,418.89,1,418.89,CUST0176,Premium,North America,Toronto,Bank Transfer,Standard
2023-01-20,ORD202301200946,PRODHOME046,Home & Garden Product 7,Home & Garden,Brand2,423.22,3,1269.66,CUST0147,Regular,Latin America,Santiago,Digital Wallet,Express
2023-01-21,ORD202301210702,PRODELEC002,Electronics Product 3,Electronics,Brand3,273.05,4,1092.2,CUST0103,Premium,Latin America,São Paulo,Credit Card,Next Day
2023-01-24,ORD202301240272,PRODSPOR072,Sports Product 3,Sports,Brand3,148.32,1,148.32,CUST0073,Premium,North America,New York,Bank Transfer,Next Day
2023-01-24,ORD202301240729,PRODELEC029,Electronics Product 10,Electronics,Brand5,383.11,5,1915.55,CUST0130,Premium,Latin America,São Paulo,Bank Transfer,Standard
2023-01-25,ORD202301250243,PRODCLOT043,Clothing Product 4,Clothing,Brand4,497.46,4,1989.84,CUST0044,Premium,Europe,Amsterdam,Bank Transfer,Next Day
2023-01-26,ORD202301260765,PRODELEC065,Electronics Product 6,Electronics,Brand1,296.8,5,1484.0,CUST0166,Regular,Europe,London,Credit Card,Standard
2023-01-26,ORD202301260958,PRODCLOT058,Clothing Product 9,Clothing,Brand4,177.9,3,533.7,CUST0159,New,North America,New York,PayPal,Express
2023-01-29,ORD202301290200,PRODHOME000,Home & Garden Product 1,Home & Garden,Brand1,259.8,1,259.8,CUST0001,New,North America,Toronto,Digital Wallet,Express
2023-01-29,ORD202301290303,PRODTOYS003,Toys Product 4,Toys,Brand4,221.06,5,1105.3,CUST0104,Regular,North America,Los Angeles,Credit Card,Standard
2023-01-29,ORD202301290716,PRODBOOK016,Books Product 7,Books,Brand2,445.43,5,2227.15,CUST0117,Premium,Asia Pacific,Tokyo,Digital Wallet,Express
2023-01-30,ORD202301300326,PRODELEC026,Electronics Product 7,Electronics,Brand2,51.6,2,103.2,CUST0127,New,Europe,Amsterdam,Digital Wallet,Next Day
2023-01-31,ORD202301310518,PRODTOYS018,Toys Product 9,Toys,Brand4,208.38,1,208.38,CUST0119,New,Asia Pacific,Singapore,PayPal,Standard
2023-02-01,ORD202302010308,PRODSPOR008,Sports Product 9,Sports,Brand4,44.73,4,178.92,CUST0109,Regular,Europe,Amsterdam,PayPal,Next Day
2023-02-01,ORD202302010480,PRODCLOT080,Clothing Product 1,Clothing,Brand1,418.4,1,418.4,CUST0081,Premium,Asia Pacific,Sydney,Credit Card,Standard
2023-02-03,ORD202302030609,PRODCLOT009,Clothing Product 10,Clothing,Brand5,257.11,3,771.33,CUST0010,New,Asia Pacific,Tokyo,Digital Wallet,Next Day
